Country,Travel?, Paved Airports,Seaport,Hub?,Res,,,,,,
Algeria,2,67,9,1,19.8820263,-0.171717172,2.287610619,3.823529412,0.029486787,5.233162346,14.61937716
Angola,1,32,4,1,3.264608759,-1.181818182,0.738938053,1.14973262,1.396694215,0.546029446,1.321885098
Benin,2,1,1,0,-0.577488946,-0.171717172,-0.632743363,-0.454545455,0.029486787,-0.400364163,-0.20661157
Botswana,1,10,0,1,0.362973726,-1.181818182,-0.234513274,-0.989304813,1.396694215,-0.054996476,-0.978724013
Burkina Faso,4,2,0,0,-4.74194729,1.848484848,-0.588495575,-0.989304813,-3.416896235,-0.346327042,-0.978724013
Burundi,3,1,0,0,-2.081975636,0.838383838,-0.632743363,-0.989304813,-0.70288746,-0.400364163,-0.978724013
Cabo Verde,1,9,1,0,1.112374915,-1.181818182,-0.278761062,-0.454545455,1.396694215,-0.07770773,-0.20661157
Cameroon,2,11,1,1,-0.213325739,-0.171717172,-0.190265487,-0.454545455,0.029486787,-0.036200955,-0.20661157
Central African Republic,4,1,0,0,-4.795984411,1.848484848,-0.632743363,-0.989304813,-3.416896235,-0.400364163,-0.978724013
Chad,3,9,0,0,-1.759319203,0.838383838,-0.278761062,-0.989304813,-0.70288746,-0.07770773,-0.978724013
Comoros,1,4,2,1,1.153128485,-1.181818182,-0.5,0.080213904,1.396694215,-0.25,0.00643427
Congo,2,8,1,0,-0.2814595,-0.171717172,-0.32300885,-0.454545455,0.029486787,-0.104334717,-0.20661157
C̫te d'Ivoire,3,7,2,0,-0.831330628,0.838383838,-0.367256637,0.080213904,-0.70288746,-0.134877438,0.00643427
Democratic Republic of the Congo,3,26,1,0,-0.685342871,0.838383838,0.473451327,-0.454545455,-0.70288746,0.224156159,-0.20661157
Djibouti,2,3,1,0,-0.473330438,-0.171717172,-0.544247788,-0.454545455,0.029486787,-0.296205654,-0.20661157
Egypt,3,72,4,0,6.91332374,0.838383838,2.508849558,1.14973262,-0.70288746,6.294326102,1.321885098
Equatorial Guinea,1,6,3,1,1.605550436,-1.181818182,-0.411504425,0.614973262,1.396694215,-0.169335892,0.378192113
Eritrea,2,4,2,1,-0.214078943,-0.171717172,-0.5,0.080213904,0.029486787,-0.25,0.00643427
Eswatini,2,2,0,0,-1.295564268,-0.171717172,-0.588495575,-0.989304813,0.029486787,-0.346327042,-0.978724013
Ethiopia,3,17,0,0,-1.675953238,0.838383838,0.075221239,-0.989304813,-0.70288746,0.005658235,-0.978724013
Gabon,1,14,3,1,1.771577533,-1.181818182,-0.057522124,0.614973262,1.396694215,-0.003308795,0.378192113
Gambia,1,1,1,0,0.789718481,-1.181818182,-0.632743363,-0.454545455,1.396694215,-0.400364163,-0.20661157
Ghana,2,7,2,1,-0.09895638,-0.171717172,-0.367256637,0.080213904,0.029486787,-0.134877438,0.00643427
Guinea,2,4,2,1,-0.214078943,-0.171717172,-0.5,0.080213904,0.029486787,-0.25,0.00643427
Guinea-Bissau,3,2,4,0,0.272670596,0.838383838,-0.588495575,1.14973262,-0.70288746,-0.346327042,1.321885098
Kenya,2,16,2,1,0.036880412,-0.171717172,0.030973451,0.080213904,0.029486787,0.000959355,0.00643427
Lesotho,1,3,0,0,0.121764548,-1.181818182,-0.544247788,-0.989304813,1.396694215,-0.296205654,-0.978724013
Liberia,2,2,2,1,-0.310405985,-0.171717172,-0.588495575,0.080213904,0.029486787,-0.346327042,0.00643427
Libya,4,68,2,0,2.027101666,1.848484848,2.331858407,0.080213904,-3.416896235,5.437563631,0.00643427
Madagascar,2,26,3,1,0.63183506,-0.171717172,0.473451327,0.614973262,0.029486787,0.224156159,0.378192113
Malawi,2,7,0,0,-1.084114663,-0.171717172,-0.367256637,-0.989304813,0.029486787,-0.134877438,-0.978724013
Mali,4,8,0,0,-4.499954965,1.848484848,-0.32300885,-0.989304813,-3.416896235,-0.104334717,-0.978724013
Mauritania,3,9,2,0,-0.77416092,0.838383838,-0.278761062,0.080213904,-0.70288746,-0.07770773,0.00643427
Mauritius,1,2,1,0,0.843755603,-1.181818182,-0.588495575,-0.454545455,1.396694215,-0.346327042,-0.20661157
Morocco,2,36,8,1,11.68442156,-0.171717172,0.915929204,3.288770053,0.029486787,0.838926306,10.81600846
Mozambique,2,21,3,1,0.471289989,-0.171717172,0.252212389,0.614973262,0.029486787,0.063611089,0.378192113
Namibia,1,19,2,1,1.42993168,-1.181818182,0.163716814,0.080213904,1.396694215,0.026803195,0.00643427
Niger,3,10,0,0,-1.736607949,0.838383838,-0.234513274,-0.989304813,-0.70288746,-0.054996476,-0.978724013
Nigeria,3,40,3,0,0.869779553,0.838383838,1.092920354,0.614973262,-0.70288746,1.1944749,0.378192113
Rwanda,1,4,3,1,1.524886328,-1.181818182,-0.5,0.614973262,1.396694215,-0.25,0.378192113
Sao Tome and Principe,1,2,1,0,0.843755603,-1.181818182,-0.588495575,-0.454545455,1.396694215,-0.346327042,-0.20661157
Senegal,1,9,1,0,1.112374915,-1.181818182,-0.278761062,-0.454545455,1.396694215,-0.07770773,-0.20661157
Seychelles,1,7,1,0,1.055205207,-1.181818182,-0.367256637,-0.454545455,1.396694215,-0.134877438,-0.20661157
Sierra Leone,2,1,3,1,0.007314737,-0.171717172,-0.632743363,0.614973262,0.029486787,-0.400364163,0.378192113
Somalia,4,8,2,0,-3.514796682,1.848484848,-0.32300885,0.080213904,-3.416896235,-0.104334717,0.00643427
South Africa,2,130,5,1,28.62487064,-0.171717172,5.075221239,1.684491979,0.029486787,25.75787062,2.837513226
South Sudan,4,4,0,0,-4.645620248,1.848484848,-0.5,-0.989304813,-3.416896235,-0.25,-0.978724013
Sudan,4,17,1,0,-3.617849571,1.848484848,0.075221239,-0.454545455,-3.416896235,0.005658235,-0.20661157
Togo,1,2,2,1,1.056801443,-1.181818182,-0.588495575,0.080213904,1.396694215,-0.346327042,0.00643427
Tunisia,2,15,5,1,2.866823805,-0.171717172,-0.013274336,1.684491979,0.029486787,-0.000176208,2.837513226
Uganda,3,5,2,0,-0.904163269,0.838383838,-0.455752212,0.080213904,-0.70288746,-0.207710079,0.00643427
United Republic of Tanzania,2,10,2,1,-0.019075418,-0.171717172,-0.234513274,0.080213904,0.029486787,-0.054996476,0.00643427
Zambia,1,8,0,0,0.313635485,-1.181818182,-0.32300885,-0.989304813,1.396694215,-0.104334717,-0.978724013
Zimbabwe,2,17,0,1,-0.943578991,-0.171717172,0.075221239,-0.989304813,0.029486787,0.005658235,-0.978724013
Africa,1,1,1,0,0.789718481,-1.181818182,-0.632743363,-0.454545455,1.396694215,-0.400364163,-0.20661157
